time, Quad.IMU.AX
0.005000,0.143543
0.010000,-0.840799
0.015000,0.020170
0.020000,-0.815555
0.025000,0.888912
0.030000,-0.284647
0.035000,-1.129378
0.040000,-0.493124
0.045000,0.121738
0.050000,-0.382381
0.055000,0.409738
0.060000,-0.057713
0.065000,-0.348602
0.070000,-0.888177
0.075000,-0.589371
0.080000,-0.011168
0.085000,-0.364499
0.090000,-0.192080
0.095000,-0.517397
0.100000,0.139914
0.105000,-0.370599
0.110000,0.006995
0.115000,-0.037175
0.120000,-0.581145
0.125000,-0.967656
0.130000,0.505509
0.135000,-0.205464
0.140000,0.080494
0.145000,0.648052
0.150000,-0.177487
0.155000,-0.231643
0.160000,0.661179
0.165000,0.441984
0.170000,-1.007799
0.175000,0.246573
0.180000,0.376007
0.185000,-0.354312
0.190000,0.192560
0.195000,0.490714
0.200000,0.180824
0.205000,-0.388980
0.210000,0.180350
0.215000,0.540122
0.220000,-0.045141
0.225000,-0.024683
0.230000,0.558531
0.235000,-0.106003
0.240000,0.570207
0.245000,0.098409
0.250000,-0.632810
0.255000,0.163759
0.260000,1.100359
0.265000,-0.252593
0.270000,0.584614
0.275000,-0.356783
0.280000,-0.100224
0.285000,0.176952
0.290000,-1.090125
0.295000,0.120744
0.300000,0.263652
0.305000,-0.518583
0.310000,-0.281760
0.314999,-0.306465
0.319999,0.048275
0.324999,-0.524273
0.329999,-0.055213
0.334999,0.024349
0.339999,0.899374
0.344999,-0.151931
0.349999,1.058085
0.354999,0.404238
0.359999,-0.992095
0.364999,-0.605331
0.369999,-0.009147
0.374999,-0.040708
0.379999,0.402055
0.384999,-0.406452
0.389999,0.960533
0.394998,-0.452480
0.399998,0.533462
0.404998,-0.480378
0.409998,0.046414
0.414998,-0.084939
0.419998,0.285287
0.424998,-0.035414
0.429998,0.108068
0.434998,0.040243
0.439998,0.251823
0.444998,0.147040
0.449998,0.034758
0.454998,0.130204
0.459998,-0.529028
0.464998,0.339421
0.469997,-0.492632
0.474997,-1.596712
0.479997,-0.665992
0.484997,0.654231
0.489997,-0.122630
0.494997,-0.747132
0.499997,-0.939390
0.504997,0.311706
0.509997,-0.022213
0.514997,0.152833
0.519997,-0.039559
0.524997,-0.188798
0.529997,0.442659
0.534997,-0.421094
0.539997,-0.911034
0.544997,0.339318
0.549996,0.326223
0.554996,0.093909
0.559996,0.872697
0.564996,0.513530
0.569996,1.275781
0.574996,0.186494
0.579996,-0.595044
0.584996,-0.165103
0.589996,-0.685051
0.594996,0.141614
0.599996,-0.063105
0.604996,0.316295
0.609996,-0.260348
0.614996,-0.046214
0.619996,-0.558634
